Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure,Severity_Score
"Alappuzha, Ernakulam, Kollam, Kozhikode, Malappuram, Pathanamthitta, Thrissur,Thiruvananthapuram",2009,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Alappuzha, Ernakulam, Kollam,Kottayam",2013,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Alappuzha, Ernakulam, Kottayam, Malappuram, Thrissur, Pathanamthitta",2015,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Alappuzha, Ernakulam, Kozhikode, Malappuram, Thrissur, Thiruvananthapuram,Wayanad",2014,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Alappuzha, Ernakulam, Palakkad, Idukki, Kollam",2015,1,5,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,5.000286876,18263.97663,
"Alappuzha, Ernakulam,Idukki,",2013,1,5,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,5.000286876,18263.97663,
"Alappuzha, Ernakulam,Thrissur",2004,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Alappuzha, Idukki, Ernakulam, Kannur, Kottayam, Kollam, Kozhikode, Malappuram, Palakkad,  Pathanamthitta, Thrissur, Thiruvananthapuram",2021,1,9,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,9.000516377,18263.97663,
"Alappuzha, Idukki, Kasaragod, Kollam, Kottayam, Kozhikode, Palakkad, Pathanamthitta, Thiruvananthapuram,Wayanad",1991,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Alappuzha, Idukki, Kollam, Kottayam, Kozhikode, Malappuram, Pathanamthitta, Thrissur, Thiruvananthapuram,Wayanad",2011,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
