Districts,Year,Flood_Frequency,Mean_Duration,Human_fatality,Human_injured,Population,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure
Junagadh,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Kachchh,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Mahesana,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Morbi,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Navsari,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Panch Mahals,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Patan,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Rajkot,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Sabar Kantha,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Tapi,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Dangs,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
